" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
 Toledo Lighthouse Society, Maumee Bay Resort 1750 Park Rd. #2," Oregon,",Ohio,43616,"419-691-3788,",FAX: 419-691-2288,"Sandra Bihn,",President ," Last Thursday of the month, 7:00 pm.",Preservation and history of Toledo Harbor Light House., http://www.toledolighthouse.org ,,,,,,,
 Lake Erie Waterkeeper Inc., 3900 N. Summit Blg #2, Toledo,Ohio,43611,1-800-551-1592,,"Sandra Bihn,",Director. ," 2nd Thursday of the month, 7 pm., at the Toledo Yacht Club.",Lake Erie Water Quality and fish. Annual conference in March., http://www.lakeeriewaterkeeper.org ,,,,,,,
 HIV Prevention Regional Community Planning Group of N.W. Ohio," St Paul Methodist Chuch, 1201 Madison Ave"," Toledo,",Ohio,43604,419-213-4131,Fax: 419-213-4119,"Jerry Kerr,", Aids Program Coordinator , ,This group is comprised of members of the HIV prevention and HIV care planning community in Lucas County. Members and attendees collaborate to support HIV prevention and care efforts within agencies and throughout the community. The meeting is open to everyone who is interested in reducing the incidence of HIV in Toledo-Lucas County., ,,,,,,,
 NW Ohio NORML, , Toledo,Ohio,43614,567-694-6975,,Mary Smith,President. ," Meetings: 2nd Sunday, 4:20pm. Spaghetti Warehouse, 42 S. Superior. Toledo, OH","Our goal is to educate people on the advantages of re-legalizing marijuana for the use of medicine, food, and industrial uses such as fuel and fiber based products. Also, to support Legislation that will bring positive change to local, state and federal laws.", ,,,,,,,
 Responsible Social Values Program (RSVP), 716 N. Westwood Ave.," Toledo,",Ohio,43607,419-5787352,Fax: 419-531-6842,"Debra Everett,",Director. , ,Abstinence education and sexual integrity in middle schools and High Schools., http://www.rsvptoledo.org ,,,,,,,
 Maumee Valley Model T Ford Club, Meeting: Brondes Ford in Maumee, ,, ,,,Mike Wilson, ," 3rd Wednesday of the month, 7:30 pm","To encourage members to acquire, preserve, restore, exibit and make use of the Model T Ford vehicle, and all things pertaining to the Model T Ford; including literature, technical and historical information, fashions, and to promote fellowship among members.", ,,,,,,,
 Oregon Business and Professional Women., American Table Restaurant," Oregon,",Ohio,43616,,,Kathy Cousino,contact , Third Thursday (Sept-May) 6:00 pm. dinner meeting,"Purpose is to elevate the standards for all working women. To network and mentor.To extend opportunities to women in the workplace, through awareness of legislators and legislation to support all women. To offer scholarships on the local level. Speakers and programs at monthly meetings.", ,,,,,,,
 Science Alliance for Valuing the Environment (SAVE) Inc., 6832 Convent Blvd.," Sylvania,",Ohio,43560,419-824-3691,Fax: 419-824-3526,"Sr. Rosine Sobczak, OSF.",President , Bimonthly meetings.,"Its mission is to foster a personal awareness and respect for the interrelatedness of ecology and spirituality for all who wish to learn. It creates formal and informal lifelong learning opportunities in cooperation with organizations at all levels local, national and global, and is designed to empower individuals to action. It is a not-for-profit private foundation. | Publication of a quarterly newsletter. Provide at least 10-16 scholarships to underrepresented underserved children for Summer Science Camp at the Lourdes Life Lab (grades 5-10). Hold a Free Public Lecture Series annually in September, November, January, March and May. Recycle printer/copier cartridges and cell phones; grants three awards to students who show ecological sensitivity at NW District Science Day and grants awards to persons or groups who are making a significant environmental contribution to our locale.", ,,,,,,,
 ProMedica St. Luke's Hospital Senior Service," St. Luke's Hospital, 5901 Monclova Rd."," Maumee,",Ohio,43537,419-893-5923,,Cassandra Mulinix,Community Services Coordinator. , Varies.,"Free senior program providing education and programs of interest to older adults including health screenings, etc. ", http://www.stlukeshospital.com ,,,,,,,
 Associated General Contractors of N.W. Ohio, 1845 Collingwood," Toledo,",Ohio,43604,419-241-3601 ext-222,,Greg Meyers,President ," Monday-Friday, 8am-5pm",Liasion between management and labor., http://agcnwo.com ,,,,,,,
 Toledo East Women's Connection," Bayside Boardwalk, 2759 Seaman Rd", Oregon,Ohio,43616,419-691-9611,,Marilyn Heidebrink - 419 666-1633,Head Chair ," Second Thursday of the month, except Sept.. 12:00buffet","A non-denominational group supports ministries and their families. Each month has a different theme. Always entertaining preliminary music. Program consists of a special feature, singer of enjoyable song and more .... song, and testimonial speakers.", ,,,,,,,
 Friendship Park Senior and Community Center, 2930 131st St.," Toledo,",Ohio,43611,419-936-3079,Fax: 419-245-3374,Chelsea Labadie,Director. ," Monday-Thursday 9am-4:45 pm., Friday 9-1","Western round and line dancing, computer lessions, scrabble, exercise, shuffleboard, bingo, card tournaments, health clinics, daily lunches and AARP meeting.We also have a Block Watch program and take many day trips.", http://www.friendshippark.info ,,,,,,,
 Sylvania (Ohio) Parks and Forestry. Harroun Community Park, 5416 Main , Sylvania,Ohio,43560,419-885-8992,Fax: 419-882-4817,Pat O'Brien,Superintendent , ,"Sylvania has seventeen beautiful parks with a total of more than 250 acres. Events include Arbor Day-April, Memorial Day celebration, River Ball Race, July. ", ,,,,,,,
 Black Swamp Bird Observatory, 13551 W. SR 2," Oak Harbor,",Ohio,43449,419-898-4070,,Kimberly Kaufman, Executive Director ," Open every weekend, extended hours vary by season.",Teaming research with education to promote bird conservation. Adult and children's educational programs. Research and outreach. Organizers of The Biggest Week In American Birding., http://www.bsbo.org ,,,,,,,
" Swanton Area Railroad and Model Club, Inc.", P.O. Box 26, Swanton,Ohio,43558,419 867-8090,,Ed Snyder, , ,Operate model trains at shows around northwest Ohio., http://www.swantontrainclub.com ,,,,,,,
 Positive Beginnings. (Fasset Street)., 601 Fasset Street," Toledo,",Ohio,43605,419-697-3996.,Fax: 419-697-3996,Cathy Simpson,Admin. ," 6 am-6 pm, Monday-Friday.","Top quality hands-on approach to learning, Australian curriculum and children learn at their own pace. Summer S.A. programs, diverse learning labs which are challenging and age appropriate. 3 outdoor play facilities. Breakfast, and afternoon snack provided. Parents provide lunch.", ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 Equality Toledo, P O Box 2659, Toledo,OH,43606,419-407-6225,,Dave Crafts,Executive Director info@equalitytoledo.org , By appointment/request.,, http://www.equalitytoledo.org ,,,,,,,
 Pet Loss Support Group, Christ Presbyterian Church. 4225 W. Sylvania Ave, Toledo,OH ,43623,,,Linda Bell,419-708-3680 , 7:00 - 8:30pm. Second Tuesday/Month.,, ,,,,,,,
 Lake Erie British Car Club, 2985 N. Huss, Genoa,OH,43430,419-855-8567,,Stan Fingerhut,President ," 6:30 pm- Dinner 7:30pm- Meeting Wednesday (second of the month), except December. Meet at Charley's in Swanton","British car shows, car musuems, day and weekend trips that a British car can be driven to, road ralleys, mostly a social group that is family friendly. Yearly car show, the first Sunday in June, and banquet, monthly newsletter. We also support charities. Supporters of Ft. Meigs.", http://www.lebcc.org ,,,,,,,
 Crochet Now," Way Public Library, 101 E Indiana Ave", Perrysburg,OH,43551,Bobbie Jo 419-350-8574,,, , 6:30pm - 8:30pm. Usually first Thursday of the month. ,"Our purpose is to share and learn the art of crochet. During our meetings we share current crochet happenings, learn new stitches, show off finished projects, and share crochet tips to help those just learning crochet, or those needing help with difficult or complicated patterns. We crochet items for local charities as well.", http://www.facebook.com/CrochetNowNWOHCGOA ,,,,,,,
 Sylvania Women's Connection West, , ,, ,419-535-5853,,Julie Pereus, , 2nd Friday of every month; contact for information ; lunch at Highland Meadows Golf Club.,"Our group is an inter-denominational outreach for ladies. We meet once a month for a lunch to hear a special feature, a vocalist, and an inspirational speaker. There is a nominal fee for our lunch. A free nursery is available with reservations for lunch attendees at Olivet Lutheran on Monroe Steet. We also offer a prayer connection hosted in Westgate Chapel once a month and we offer Bible study groups.", ,,,,,,,
 Servant Leadership Center of Toledo, 1618 W. Sylvania Ave, Toledo,OH,43612,419 476-0941,419 476-8491,Bryce Roberts, ," Mon - Fri, 9:00 a.m. to 4:00 p.m. (as available)","The Servant Leadership Center is a place that cultivates leaders with the heightened awareness mentioned in the definition of servant leadership. Our purpose is to prepare and support individuals and organizations as servant leaders so that ordinary people, through individual, collective and systemic efforts, can achieve extraordinary things to create a better world. We believe that discerning calls, identifying and developing gifts and achieving change can only happen in a community.Together, we commit to the following: prayerful, ongoing discernment and transformation; respect for the dignity of each person; distributive justice; confronting powers that oppress through non-violent resistance. We have programs for adults and high school students. email: servantleadershipcenter@yahoo.com", http://www.servantleader.org ,,,,,,,
 Toledo GROWs (Toledo Botanical Garden), 900 Oneida Street, Toledo,OH,43608,419-720-8714,,Yvonne Dubielak,Toledo GROWs Manager ," Monday - Friday, 9 a.m. - 5 p.m.","We are the community garden outreach program of Toledo Botanical Garden. We provide technical assistance to groups that are interested in planning and creating community gardens. Eligible individuals/groups can receive free seeds/plants, help with soil improvements, and educational workshops throughout the growing season.", http://www.toledogarden.org/content/toledogrows/ ,,,,,,,
" Barbershop Harmony Society, Black Swamp Chapter.", Northpoint Church of the Nazarene. 5825 Suder Ave, Toledo,OH,43611,419-536-4476,,John Polofka,President. , Tuesdays at 7:30 pm.,We sing a cappella barbershop harmony for our own enjoyment and the enjoyment of our audiences. We sing at an annual show as well as paid and unpaid (community volunteer) events., ,,,,,,,
 Maritime Academy of Toledo., 803 Water Street., Toledo,Ohio,43604,419-244-9999,419-244-9898,Tom Shafer,Superintendent , 8:00am - 3pm Monday - Friday.,"The mission of The Maritime Academy of Toledo, a tuition-free community school, is to provide students a nautical/maritime-themed education that focuses on academics and skill development for traditional college and/or career preparation. Additionally, Maritime students are encouraged to pursue academic excellence in preparation for a successful maritime college appointment and/or a maritime school-to-work career.", http://www.maritimeacademy.us ,,,,,,,
 Chinese Association of Greater Toledo (CAGT), , ,, ,419-530-2664,,Jiquan Chen [President], , ,"CAGT aims to promote diversity in the local community, particularly to promote Chinese culture including Chinese language. Chinese New Year Festival is one of its major activities, CAGT will also organize Fall Music Festival(usually in Sept or Oct), Spring and Fall picnics. In the past 5 years, CAGT participated in the Dragon Boat Festival (July) and Taste of Diversity Program (August), organized by the City of Toledo.", http://www.toledochinese.org ,,,,,,,
 Toledo Choose Local, P. O. Box 951, Toledo,OH,43697,419 241-8440,,Kyle Cubbon,President , ,"We are a nonprofit organization, supporting locally-owned, independent businesses by creating awareness about the value they have to our community and local economy. We educate the public about the economic benefits of choosing local and connect them with our business members.", http://www.toledochooselocal.org ,,,,,,,
 SCORE (Service Corps of Retired Executives), 2200 Jefferson Ave, Toledo,OH,43604,419 259-7598,Fax: 419 259-6460,, , M-TH 9am. - 1pm. Counseling at other hours.,"We provide confidential, personalized one-on-one counseling to help people start a business or improve a struggling business, offering general business advice including marketing, manufacturing operations, finance, etc. We advise and assist people in developing a business plan, obtaining financing and the importance of cash flow. We discuss and guide clients regarding operational problems and conduct seminars and workships on business formation issues.", http://www.nwoscore.org ,,,,,,,
 Maumee Valley Civitan, 1154 Larc Lane, Toledo,OH,43614,,,, ," 1st Thursday of each month. 6:00pm. at the Ability Center 3rd Tuesday of each month 12:00pm brown bag lunch. 1154 Larc Lane. Toledo, Ohio 43614. Meetings are held at Lucas County Board of Developmental Disabilities.",Provide and enhance lives of individuals who have developmental disabilities., http://www.maumeevalleycivitan.org ,,,,,,,
 Scrap4Art, 333 W. Wayne, Maumee,Ohio,43537,419-720-2978,,Evy Jarrett,"President, Board of Directors. ", Tuesdays from 10:30-5:30. Wednesdays - Thursdays 12:30-5:30. Saturdays 9:30-3:30.,"Scrap4Art accepts scrap materials from individuals and businesses and makes those materials available at a low cost to teachers, artists and others who can reuse the materials. Scrap4Art offers birthday parties for children, field trips for school groups, programs for scout groups, and team building exercises for groups, with themes of the creative reuse of materials and the promotion of conservation of energy and natural resources. ", http://www.scrap4arttoledo.org ,,,,,,,
 Genealogy by Computer Society. , Toledo-Lucas County Public Library. 325 N. Michigan St., Toledo,OH,43604,,,Connie Ayers, , 2nd Saturday of each month. 1:00 - 3:00 p.m.,"GCS is a nonprofit, membership organization of amateur genealogists who use computers as a tool for research, organization of data, printing reports and charts and printing family history books. We publish a quarterly newsletter, hold monthly meetings, sponsor technical classes and provide other activities in helping members and others in the use of computers for genealogy research.", http://www.gcstoledo.org ,,,,,,,
 Machine Embroidery Guild (M.E.G.), Zion Lutheran Church 22 N. 2nd. , Waterville,OH,43560,419-841-5373,,"Diane Giveins, 2643 Joelle Dr, Toledo, Ohio 43617-1327 MegToledo@bex.net",President ," 3rd Wednesday of each month at 10 a.m. except for July, Luncheon at restaurant. ","Machine embroidery with home sewing machines. For all brands of machines. Show and tell, demos, presentations, and door prizes. ", ,,,,,,,
 Northwest Ohio Peace Coalition, P O Box 20077, Toledo,Ohio,43610,419-242-7317,,Steve Miller, , 2nd & 4th Wednesdays at 7:00pm. St. Paul's 120 Madison,"Activist peace organization protesting the Iraq and Afghanistan war through educational events. Vigils, weekly demonstrations, Arlington Mid West Tombstone display, and other peace- related events.", ,,,,,,,
 Better Investing. Northwest Buckeye Chapter, Wood County Park Headquarters, Bowling Green,Ohio, ,,,, , 4th Tuesday of each month. 6:30 pm. (Board of Director's meetings.),"We sponsor teaching seminars on how to invest, teach using the computer to invest, help organize investment clubs. ", ,,,,,,,
 Slow Food Maumee Valley, , ,, ,419-536-0807,,Paula Ross,Leaders , Day and time of meetings vary,"As a local chapter of Slow Food USA, we carry out the Slow Food mission here in Northwest Ohio. We offer educational events and activities to promote sustainability and biodiversity and connect farmers, cooks, educators, students and everyone else who cares about their food and the environment. We are on Facebook: Slow Food Maumee Valley.", http://slowfoodmaumeevalley.blogspot.com ,,,,,,,
 Toledo Mobile Radio Association, P O Box 9673, Toledo,OH,43697,Brian J. Harrington,,419-385-5624, ," Electrical Industry Bldg. 727 Lime City Rd. 2nd Wednesday of the month, 7:30pm. all welcome.",Dedicated to promoting the hobby of ham radio through training and education of its members and the general public. Helps support the education of individuals in radio communications and electronics through scholarships. Ready to serve the public during emergencies and public events with reliable emergency communications., http://www.tmrahamradio.org ,,,,,,,
 Mudhen Hash House Harriers, , ,, ,,,Dudley J Noswell,419 467-7451 , Varies week to week,"We are a drinking club with a running problem.We meet every other Wednesday at different venues throughout the Toledo area and occasionaly SE Michigan. The Hare"" sets a running/walking trail with flour and members follow the trail to beer stops. At the end of the run we go to whatever venue has been decided upon by the Hare and dine and drink more beer.""", http://www.mudhenhhh.com ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 Rain Garden Initiative of Toledo-Lucas County, 130 A W. Dudley, Maumee,Ohio,43537,419-893-1966,,Cheryl Rice,Chair , Monday - Friday 9am. - 5pm.,"The Toledo-Lucas County Rain Garden Initiative will introduce the idea of rain gardens and their infrastructure to homeowners, developers, nurseries and landscapes, business owners, and governmental agencies and assist them in constructing rain gardens as a way to manage storm water by providing demonstration gardens, technical training and public information and involvement. We also have a Speaker's Bureau for presentations on rain gardens around the community. We have a teacher box of lessons for classes at the Toledo Zoo, other is Maumee.", http//www.raingardeninitiative.org ,,,,,,,
 Phoenix Academy, 1505 Jefferson Ave, Toledo,OH,43604,419 720-4505,419 720-4512,Craig Cotmer,Principle ," Monday-Thursday, 9am-5pm; Friday 9am-3pm","Junior High Students (referral only)may complete their course of study. High School students complete certified high school diploma, per State of Ohio requirements. | Phoenix Academy also has Credit Recovery Outreach Centers (CROCS) at East Toledo Family Ctr, 1020 Varland, 419/720-6377, 1100 N. McCord Rd, 419 861-0149 and 3055 W Alexis, 419 720-6366. | Also offer an Outreach Program at all sites, a program for students who attend other schools during the day to take classes that they may have failed or need to graduate. There is a charge for these classes. Check website for more information.", http://www.phoenixtoledo.org ,,,,,,,
 , , ,, ,,,, , ,, ,,,,,,,
 Special Event Association of Northwest Ohio, P O Box 2678, ,, ,419-474-2100,,Sherri Hudson,President ," Third Tuesday of each month, at 11:30","We seek to advance and promote regional special events professionals through networking, education and cooperation.", http://www.seanotoledo.org ,,,,,,,
 Catholic Church. Diocese of Toledo (Ohio). Respect Life Ministry, 1933 Spielbusch Ave, Toledo,OH,43604,419-796-8005 or 419-244-6711 (1-800-926-8277 outside Toledo within Ohio) ext. 409 Project Rachel,,Jan Kahle jkahle@toledodiocese.org,Catholic Charities Respect Life Coordinator. , 8:30am. - 5:00pm. Monday - Friday,"In keeping with the teachings of the Catholic Church, we offer information and/or presentations in all areas that support Dignity of Human Life and those issues that threaten life. Information is available on subjects such as stem cell research, abortion, euthanasia, end of life issues, post-abortion - Project Rachel, pregnancy assistance, adoption. Project Rachel is available through out Catholic Charities-Respect Life Ministry for those struggling with the grief of an abortion. The direct contact number for that confidential assistance is 419-260-5811 or e-mail projectrachel@toledodiocese.org.", http://www.catholiccharities.org or http://www.toledodiocese.org ,,,,,,,
 Sylvania Community Arts Commission, 5632 N Main St, Sylvania,OH,43560,419 517-0118,419 885-7740,Jennifer Archer,Exec. Director ," Mon-Fri, 9 am - 4 pm","Sylvania Community Arts Commisssion is a non-profit organization directed by a volunteer board of trustees. The mission of the SCAC is to promote the awareness, interest and understanding of performing arts, arts education and visual arts in the greater Sylvania community for residents of all ages. ", http://www.sylvaniaarts.org ,,,,,,,
 Chicks For Charity, 1500 Timberwolf Dr, Holland,OH,43528,419 241-2221,,, , We do not have regular meetings,"We are girls and women of all ages and backgrounds who want to transform our community through occasional fun lunches, happy hours and special events. We focus on helping young women to gain confidence in their capabilities as donors and volunteers. We want to inspire women to fulfill their philanthropic potential through donations of time, talent and money. Every two years, we choose a charity as a recipient of our efforts", Http://www.chicksforcharity.net ,,,,,,,
 Parents of Murdered Children, P O Box 6808, Toledo,OH,43612,419-309-7759,,, ," 3rd Tuesday of month, at 7:00 p.m. at Eleanor Kahle Senior Center, 1315 Hillcrest, Toledo, OH 43612",Support for parents of murdered children and other homicide survivors., ,,,,,,,
 Maumee Valley Heritage Corridor, 5100 W. Central Ave, Toledo,OH,43615,419 407-9823,,Angie Quinn,Interim Ex. Director , ,"The Heritage Corridor was incorporated in 1992 in Ohio and in 1993 in Indiana. Our mission is to identify historic, natural, cultural and recreational resources in the Maumee River watershed, principally in those counties adjacent to the Maumee, and to increase public awareness of these resources and help protect them as necessary. Our accomplishments to date include initiating studies by the National Park Service that have led to congressional designation of the Fallen Timbers Battlefield and Fort Miami as an affiliated unit of the NPS; designation of 60 miles of roads along the Maumee as state Scenic Byways and increasing awareness of the many historical and cultural attractions in the Corridor.", http://www.maumeevalleyheritagecorridor.org ,,,,,,,
 EPIC Toledo, See EPIC Toledo events calendar at Website, ,, ,419 243-8191,,Sara Swisher, Director , ,"EPIC Toledo is the largest young professional organization in the Toledo region. EPIC stands for engaging people, inspiring change. Our mission is to connect high-potential emerging leaders to each other and the community. EPIC is based on the belief that a region that is influenced by diverse talent is a region that can attract and retain it. We provide leadership and professional development opportunities, social and networking events to connect young professionals to one another, and ways for our members to impact the community.", http://www.epictoledo.com ,,,,,,,
 A Rainbow Treasure Child Care Center, 440 S Reynolds Rd, Toledo,OH,43615,419 720-7682,,, , 7 am. to 6 pm. M-F.," Preschool curriculum, outdoor play facilities. Currently have 3 Stars in Step Up to Quality"" program. Meals and snacks are provided.""", ,,,,,,,
 Rainbow Area Youth (RAY)," Meet at Trinity Episcopal Church 316 Adams, Toledo, Ohio", Toledo,OH,43620,567-249-7135,,Shannon Frye, ," Thursdays, 6:30-8:30 pm","It is the mission of Rainbow Area Youth (RAY) to provide a physically and emotionally safe environment for gay, lesbian, bisexual , transgender and questioning (GLBTQ) youth between the ages of 13 and 19. During meetings, youth share experiences, receive support from other youth and adult volunteers and learn more about GLBTQ indentities. RAY regularly schedules game nights, adult ally nights, and social events that bring youth into contact with the community through service and education. Healthy relationships and postive decision-making are always key to group activities and discussion. RAY works with many other GLBTQ groups in the area as well other youth services providers to connect our teens with every resource available to them.", http://www.raytoledo.org ,,,,,,,
 Ohio Quilts of Valor," Quilt Foundry, 234 W. Wayne ", Maumee,Oh,43537,419-461-3769,,JoEllen Morris, , Second Tuesday of the month. 6:00pm to 9:00pm.,"We make quilts for injured soldiers. We have fundraisers in order to purchase material for the quilts. Donations of materials (red, white or blue, 100% cotton, quilt tops) much appreciated.", ,,,,,,,
 Arms Forces (LEEF), P. O. Box 981, Maumee,OH,43537,567-318-0854,,Pam Hays,Founder/President , Varies.,"LEEF - Lifting up, educating, empowering, family, friends, veterans with traumatic brain injury or PTSD.", https://www.thearmsforces.org ,,,,,,,
 Northwest Ohio Gerontological Association (NOGA), 5901 Monclova Rd St. Luke's Hospital, Maumee,OH,43537,419-841-8889,,Vickie Leeming,Association Manager , 1st Thursday of each month. 3:00 p.m. until 4:30 p.m.,The mission of NOGA is to provide educational opportunities and a support system for those involved in the field of aging. Through these means NOGA addresses issues that affect older adults and promotes the positive aspects of aging. Through monthly programs members are given the opportunity to network with the other individuals interested in the field of aging. Current topics in gerontology are discussed by expert speakers at most meetings. Continuing education credits are provided for many health care professionals., http://www.nogaonline.org ,,,,,,,
 PFLAG TOLEDO, 2108 Collingwood Blvd. Central United Methodist Chruch., Toledo,OH,43620,419-386-7830,,Janis Sankowski,President , 4th Thursday of the month. 7:00 p.m.,"PFLAG promotes the health and well-being of lesbian, gay, bisexual and transgender persons, their families and friends through: support, to cope with an adverse society; education, to enlighten an ill-informed public; and advocacy, to end discrimination and to secure equal civil rights. Parents, Families and Friends of Lesbians and Gays provides opportunity for dialogue about sexual orientation and gender idenity, and acts to create a society that is healthy and respectful of human diversity.", ,,,,,,,
 NAACP - Toledo Branch, Third Baptist Church , Toledo,OH,43604,,,Kevin Bedford,419-392-2470 , Tuesday of the month 7:00 p.m.,"Civil Rights organization, Justice in Housing, employment, education, economic opportunity, environment and voting. ", http://toledonaacp.org ,,,,,,,
 Your First Look, 101 Main Street Ste 4, Toledo,Ohio,43605,419-720-3338,419-720-0632,, , Please call for hours.,"Offers free pregnancy tests with ultrasound confirmation; options couseling help in procuring social and medical services, legal advice referral, clergy couseling referral. ", http://www.yourfirstlook.org ,,,,,,,
 River Road Garden Club, 10356 Ramm Road C, Whitehouse,Oh,43571,419 297 5179,,Cornelia Wagener, ," Meetings at the Forum House of the Toledo Botanical Gardens, second Wednesday of the month 11:30 a.m., except January and August","To promote interest in and increase knowledge of horticulture and related activities by its members, promote beautification, conservation and prudent use of natural resources, and encourage the development of home gardening and floral design skills.", ,,,,,,,
 Wild Ones-Oak Openings Region Chapter," 6930 Sylvania Ave. Nederhouser Community Hall, Olander Park. (meets)", Sylvania,Ohio,43560,419-705-1017,,Denise Gehring,Communications ," 2nd Tuesday of the month, 6:45 meeting/refreshments; educational programs at 7pm, monthly Sept. through April (see website for schedule). Public welcome.","Promotes environmentally sound landscaping practices to preserve biodiversity through the presentation, restoration and establishment of native plant communities. Wild Ones is a not-for-profit environmental education and advocacy organization. We serve as plant consultants in the community and can provide walks and presentations to groups. Native landscape award program.", http://www.wildones.org ,,,,,,,
 Historical Construction Equipment Association, 16623 Liberty Hi Road, Bowling Green,OH,43402,419-352-5616,Fax: 419-352-6086,Thomas Berry, , Weekdays 9:00am. - 5:00pm. Museum 1-5pm.,"The Historical Construction Equipment Association (HCEA,) a 501(c) 3 non-profit organization, is the only organization in the world dedicated to preserving and documenting for public education the history of the construction, dredging and surface mining equipment industries. We operate the National Construction Equipment Museum in Bowling Green, Ohio, and the Museum includes unique archives that encompass sales literature, photographs, repair manuals, business records and more for over 3,200 manufacturers of such equipment from the 1870s to the present day. Museum have over 90 machines on display.", http://www.hcea.net ,,,,,,,
 Center for Innovative Food Technology," 5555 Airport Hwy., Suite 100", Toledo,OH,43615-7320 ,419-535-6000,,Rebecca Singer info@ciftinnovation.org,President & CEO , M-F 8am - 5pm.,"Since 1995, CIFT has provided a unique blend of business solutions, innovation and technical expertise to he food processing, agricultural and manufacturing sectors. These services are designed to enhance the economic performance of the industries and create new jobs. CIFT has worked with hundreds of food companies, equipment suppliers, service providers, university researches, governmental agencies, legislators, general manufacturers and many more. As a result, many new technologies have emerged, industry best practices have been established, and novel business approaches have been discovered. Through an industry-driven methodology.", http://www.ciftinnovation.org ,,,,,,,
 Power Up Foundation, 707 Haskins, Bowling Green,OH,43402,,,Doug Merrill, , ,"The mission statement of the foundation is to create a more positve atmosphere within the educational system and to promote a higher level of academic achievement, improved physical fitness, and social maturation of students.", ,,,,,,,
 Toledo's PET Bull Project, 2249 Tremainsville Rd, Toledo,OH,43613,567-315-8051,,Cindy Reinsel, , Various days & times.,"We have FREE training in the inner city and urban communities teaching people how to have better relationships with their dogs. We also teach classes against animal cruelty and anti dog fighting, pet safety for kids of all ages.", http://www.toledospetbullproject.com ,,,,,,,
 Cherry St. Legacy Project, 2213 Cherry St. Mercy St. Vincent Medical Center, Toledo,OH,43608,419-410-1882,,Karen Rogalski, , 3rd Thursday of the month. 11:00 am. to 1:0 pm. Crime Reduction and neighborhood stabilization. Block Watch 3rd Wednesday 5:30 pm. First floor conference room.Neighborhood Stabilization 2nd Tuesday of the month. 11:00 am. - 12:30 pm. First floor conference room.,This is a data driven neighborhood led project to improve the physical environment for increased health & well being of the community., ,,,,,,,
 Perrysburg Boat Club, P. O. Box 144 (mail), Perrysburg,OH,43551,419-874-6538,,, , ,Boating Club - docks for members and club house for members., http://www.perrysburgboatclub.org ,,,,,,,
 Historic Vistula Foundation, P.O. Box 841, Toledo,OH,43697,419-389-3452,,Richard Martinez,Chairman of the Board. , ,"To help preserve and enhance the historic architectural heritage and character of the Vistula Historic District, Toledo's first neighborhood.", http://www.historicvistulafoundation.org ,,,,,,,
 Athena Investment," Lucas -Main, Lucas-Sanger, Wood-Perrysburg", Perrysburg,Oh,43551,419-833-1369,419-860-2928,Linda Herman, , 3rd Tuesday of the month. 11:30 am. to 2:30 pm.,Learning about and investing in the stock market., ,,,,,,,
 PRIZM Creative Community, Varies, ,, ,419-931-8732,,Annette Jensen, , Varies,Nonprofit group created to inspire and encourage artistic expression in literary and visual art from students to professionals and bring to our community the cultural enrichmentand economic stimulous of the arts. Educational opportunites re: the art., http://www.myprizm.com ,,,,,,,
 Catherine S. Eberly Center for Women, 2801 W. Bancroft St. M.S. 502, Toledo,OH ,43606,419-530-8570,419-530-8575,, , Monday-Wednesday 8:30-6:00pm. Thursday & Friday 8:30am - 5:00pm.,"The Eberly Center was founded to help women educate empower and engage. We are located on the University of Toledo's Main Campus but we serve the entire community. The Eberly Center for Women offers classes on self-esteem, professional development and empowerment. Our most popular program is the Women's Success Series, a free 10 week group class dedicated to personal and professional development. We also offer educational seminars, career advising, return to learning advising, resume reviews, computer training, art classes. art exhibitions. volunteer opportunites, and much more. Our computer classes are low in cost but high in value. We offer training on the basics of using a computer and work our way through Microsoft Word, Excel, Powerpoint and Publisher. We also have classes in Social Media and website development and management.", http://www.utoledo.edu/centers/eberly/index.html ,,,,,,,
" Josh Project, Inc.", 2801 W Bancroft, Toledo,OH,43606,419-343-0766,,Wanda Butts,Founder , SaturdaysOffice hours Tues. - Friday 10am - 2pm.,We offer swimming lessons and water safety education. , ,,,,,,,
 Oregon/Northwood Rotary," 846 South Wheeling, American Table Restaurant.", Oregon,OH,43616,,,, , Every Wednesday for breakfast 7:45 am.,Provides dictionaries to all third graders. Sponsor classes to attend Challenger Learning Center. Plan breakfast with Santa program at Clay High School the first Saturday in December., ,,,,,,,
 BeInstrumental Foundation, P.O. Box 8519, Toledo,OH,43623,419-297-6971,,Carol McElfresh,Exec. Director , Monday - Friday 8:00am - 5:00pm.,"BeInstrumental Foundation offers music instruction, music teachers and donated insturments to schools and programs that do not have access to music programs. We currently offer group lessons in after-school programs at The Friendly Center, Kids Unlimited at St. Agnes School and Wildwood Environmental Academy. BeInstrumental is offering a desired service with the goal of bringing music instruction to as many children in the great Toledo and Southeast Michigan areas as possible.", http://www.beinstrumental.org ,,,,,,,
